3 5
[ABaCbDcAdaCcAa] 0 0
[AaBbACaBcDbAdaAa] 8 12
[AaBAbCaDcBdbCcBb] 4 8
[AaBCbAcDaBdbAaBb] 4 8
[AaBCbDcAdBabDdBb] 4 8
[AaBbAaBbCc] 1 3
[ABaCbcAaCcBb] 5 7
[ABaCbBcAbaCcBb] 2 5
[ABCaDbcBdAbaDdBb] 6 10
[ABaCbDcAdaCcBb] 0 0
[AaABaCbDcAdaCcBb] 4 8
[AaBAbCaDcBdbCcAa] 4 8
[AaBbCDcBdAbCacBb] 8 12
[AaBCbDcAdBabDdCc] 4 8
[AaBbCcBDbCdc] 5 7
[AaBbCAcBaDbCdc] 14 14
[AaBbCAcBaDbCdcAa] 8 12
[AaBbCAcBaDbCdcBb] 8 12
[AaBbCAcBaDbCdcCc] 8 12
[AaBAbCaDcBdbCcDd] 4 8
[AaBbCDcBdDbCdc] 9 12
[ABCaDbcBdAbaDdCc] 6 10
[AaBbCcBb] 8 8
[AaBbCcBbAa] 1 3
[ABaCbcBbCcAa] 5 7
[ABaCbAcBabCcAa] 2 5
[ABCaDbcAdBabDdAa] 6 10
[ABaCbDcBdbCcAa] 0 0
[AaBbCDcBdCbAcaAa] 8 12
[AaBAbCaDcAdaCcBb] 4 8
[AaBCbAcDaCdcAaBb] 4 8
[AaBCbDcAdCacDdBb] 4 8
[ABaCbcDdCcAa] 7 9
[ABaCbcDAdCacAa] 0 0
[AaBAbCacBDbAdaAa] 6 10
[AaBAbCacDBdCbcBb] 6 10
[AaBCbAcaDBdAbaBb] 6 10
[AaBCbDcdABaDbdBb] 6 10
[ABaCbcDBdCbcAa] 4 7
[ABaCAbcDaBdCbcAa] 6 10
[AaBbCcBbBb] 5 7
[AaABaCbcAaBb] 7 9
[AaABaCbBcAbaBb] 4 7
[AaABCaDbcBdAbaBb] 8 12
[AaABaCbDcAdaBb] 0 0
[AaAaABaCbDcAdaBb] 6 10
[AaBCbDcAdBabBbAa] 6 10
[AaBbBCbAcDaBdbCc] 6 10
[AaBCbDcAdBabBbCc] 6 10
[AaBbCDcBdbBb] 3 5
[AaBAbCaDcBdbBb] 14 14
[AaBAbCaDcBdbBbAa] 6 10
[AaBAbCaDcBdbBbBb] 6 10
[AaBAbCaDcBdbBbCc] 6 10
[AaBAbCaDcBdbBbDd] 6 10
[AaBCbDcCdBcbBb] 7 10
[AaBCbDcACdBacbBb] 4 8
[AaBbAaBbCc] 1 3
[ABaCbcAaCcBb] 5 7
[ABaCbBcAbaCcBb] 2 5
[ABCaDbcBdAbaDdBb] 6 10
[ABaCbDcAdaCcBb] 0 0
[AaABaCbDcAdaCcBb] 4 8
[AaBAbCaDcBdbCcAa] 4 8
[AaBbCDcBdAbCacBb] 8 12
[AaBCbDcAdBabDdCc] 4 8
[AaBbCcBDbCdc] 5 7
[AaBbCAcBaDbCdc] 14 14
[AaBbCAcBaDbCdcAa] 8 12
[AaBbCAcBaDbCdcBb] 8 12
[AaBbCAcBaDbCdcCc] 8 12
[AaBAbCaDcBdbCcDd] 4 8
[AaBbCDcBdDbCdc] 9 12
[ABCaDbcBdAbaDdCc] 6 10
[AaBbCcBbDd] 1 3
[ABaCbcBbCcDd] 5 7
[ABaCbAcBabCcDd] 2 5
[ABCaDbcAdBabDdCc] 6 10
[ABaCbDcBdbCcDd] 0 0
[AaABaCbDcBdbCcDd] 4 8
[AaBbCAcBaCbDcdCc] 8 12
[AaBbCAcBaCbDcdBb] 8 12
[AaBCbDcAdCacDdAa] 4 8
[ABaCbcDdCcBb] 7 9
[ABaCbcDAdCacBb] 0 0
[AaABaCbcDAdCacBb] 6 10
[AaBCbDcdBAbCacAa] 6 10
[AaBCbDcdBAbCacBb] 6 10
[AaBCbDcdABaDbdCc] 6 10
[ABaCbcDBdCbcBb] 4 7
[ABaCAbcDaBdCbcBb] 6 10
[AaBbCc] 0 0
[AaAaBbCc] 0 1
[AaBbCcCBcb] 5 8
[AaBbCAcCBacb] 1 3
[ABCabBcbABaCbc] 6 9
[ABCabBDcbAdBaCbc] 10 14
[ABCabBcbADaCdc] 0 0
[ABaCbcDAdDCadcCc] 4 8
[AaBACbaAcaBDbCdc] 8 12
[ABaCbcDAdDCadcAa] 4 8
[ABaCbcDAdDCadcBb] 4 8
[AaBbCDcCBdcb] 1 3
[ABaCbcBDbBCdbc] 5 7
[ABaCbAcBaDbBCdbc] 6 10
[ABaCbDcBdDbBCdbc] 2 6
[ABaCbcDBdDCbdc] 5 8
[ABaCbAcDBadDCbdc] 4 8
[ABabBbCcAa] 3 5
[ABaAbBabCcAa] 9 11
[ABaCbcBAbBaAba] 5 8
[ABaCbDcBAdbBaAba] 2 6
[ABaCbcDAdDaAda] 14 14
[ABaCbcDAdDaAdaAa] 4 8
[ABaCbcDAdDaAdaBb] 4 8
[AaBCbBcCbcADaBdb] 8 12
[AaBAbBaAbaCDcBdb] 8 12
[ABaCbBcbCcAa] 7 9
[ABaCbBcAbCacAa] 2 5
[ABCaDbcBdAbDadAa] 6 10
[ABaCbBcDbCdcAa] 5 7
[ABaCbABcaDbCdcAa] 8 12
[ABaCbDBcdDbCdcAa] 2 6
[ABaCbBcbDdAa] 7 9
[ABaCbBcAbDadAa] 0 0
[AaBAbCaDcCdAcaAa] 4 8
[AaBAbCaAcBaDbdBb] 8 12
[AaBCbAcCaBcDbdBb] 8 12
[AaBCbDcCdBcAbaBb] 8 12
[ABaCbBcCbDcdAa] 5 7
[ABaCbABcaCbDcdAa] 8 12
[ABaCbDBcdCbDcdAa] 2 6
[ABabBbCcDd] 3 5
[ABaAbBabCcDd] 9 11
[ABaCbcDBdDbBdb] 5 8
[ABaCbAcDBadDbBdb] 4 8
[ABaAbBabCBcDbd] 7 9
[ABaAbBaAbCaBcDbd] 10 14
[ABaAbBaCbDcBdCbc] 6 10
[ABaCbBcbCcDd] 7 9
[AaBCbDcBdDbCdc] 9 12
[ABCaDbcBdAbDadCc] 6 10
[ABaCbBcDbCdcDd] 5 7
[ABaCbABcaDbCdcDd] 8 12
[ABaCbDBcdDbCdcDd] 2 6
[ABaCbBcbDdCc] 7 9
[ABaCbBcAbDadCc] 0 0
[AaBCbDcAdDaCdcCc] 4 8
[AaBAbCaAcBaDbdCc] 8 12
[AaBCbDcAdDaCdcAa] 4 8
[AaBCbDcAdDaCdcBb] 4 8
[ABaCbBcCbDcdCc] 5 7
[ABaCbABcaCbDcdCc] 8 12
[ABaCbDBcdCbDcdCc] 2 6
[AaBbCcBb] 8 8
[AaBbCcBbAa] 1 3
[ABaCbcBbCcAa] 5 7
[ABaCbAcBabCcAa] 2 5
[ABCaDbcAdBabDdAa] 6 10
[ABaCbDcBdbCcAa] 0 0
[AaBbCDcBdCbAcaAa] 8 12
[AaBAbCaDcAdaCcBb] 4 8
[AaBCbAcDaCdcAaBb] 4 8
[AaBCbDcAdCacDdBb] 4 8
[ABaCbcDdCcAa] 7 9
[ABaCbcDAdCacAa] 0 0
[AaBAbCacBDbAdaAa] 6 10
[AaBAbCacDBdCbcBb] 6 10
[AaBCbAcaDBdAbaBb] 6 10
[AaBCbDcdABaDbdBb] 6 10
[ABaCbcDBdCbcAa] 4 7
[ABaCAbcDaBdCbcAa] 6 10
[AaBbCcBbBb] 5 7
[AaABaCbcAaBb] 7 9
[AaABaCbBcAbaBb] 4 7
[AaABCaDbcBdAbaBb] 8 12
[AaABaCbDcAdaBb] 0 0
[AaAaABaCbDcAdaBb] 6 10
[AaBCbDcAdBabBbAa] 6 10
[AaBbBCbAcDaBdbCc] 6 10
[AaBCbDcAdBabBbCc] 6 10
[AaBbCDcBdbBb] 3 5
[AaBAbCaDcBdbBb] 14 14
[AaBAbCaDcBdbBbAa] 6 10
[AaBAbCaDcBdbBbBb] 6 10
[AaBAbCaDcBdbBbCc] 6 10
[AaBAbCaDcBdbBbDd] 6 10
[AaBCbDcCdBcbBb] 7 10
[AaBCbDcACdBacbBb] 4 8
[AaBbAaBbCc] 1 3
[ABaCbcAaCcBb] 5 7
